"report_date","movie_title","show_time","general_qty","discount_qty","group_qty","live_qty","total_tickets","gross_total","source_type","source_ref","source_file","price_general","price_discount","price_group","notes"
"2026-01-02","Avatar, Fire and Ash","7:30 PM","17","13","4","0","34","245.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-2-26 Avatar, Fire and Ash.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-03","Avatar, Fire and Ash","7:30 PM","16","8","2","0","26","196.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-2-26 Avatar, Fire and Ash.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-04","Avatar, Fire and Ash","2:30 PM","4","27","0","0","31","209.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-2-26 Avatar, Fire and Ash.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-09","Zootopia 2","7:30 PM","34","31","0","0","65","490.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-9-26 Zootopia 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-10","Zootopia 2","7:30 PM","32","45","5","0","82","584.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-9-26 Zootopia 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-11","Zootopia 2","2:30 PM","0","111","8","0","119","753.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-9-26 Zootopia 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-16","Zootopia 2","7:30 PM","28","26","5","0","59","427.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-16-26 Zootopia 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-17","Zootopia 2","7:30 PM","15","17","0","0","32","238.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-16-26 Zootopia 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-18","Zootopia 2","2:30 PM","4","86","11","0","101","637.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-16-26 Zootopia 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-23","David","7:30 PM","19","9","11","0","39","264.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-23-26 David.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-24","David","7:30 PM","13","8","5","0","26","182.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-23-26 David.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-25","David","2:30 PM","0","37","4","0","41","256.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-23-26 David.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-30","Anaconda","7:30 PM","4","3","0","0","7","53.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-30-26 Anaconda.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-30","Iron Lung","7:30 PM","16","0","2","0","18","144.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-30-26 Iron Lung.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-31","Anaconda","7:30 PM","9","3","4","0","16","112.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-30-26 Anaconda.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-01-31","Iron Lung","7:30 PM","28","0","0","0","28","238.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-30-26 Iron Lung.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-01","Anaconda","2:30 PM","0","25","6","0","31","186.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\1-30-26 Anaconda.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-06","Mercy","7:30 PM","9","0","3","0","12","88.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-6-26 Mercy.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-07","Mercy","7:30 PM","2","3","2","0","7","44.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-6-26 Mercy.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-13","Send Help","7:30 PM","22","4","6","0","32","237.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-13-26 Get Help.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-15","Send Help","2:30 PM","13","2","2","0","17","131.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-13-26 Get Help.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-20","I can only Imagine 2","7:30 PM","9","9","3","0","21","147.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-20-26 I can only imagine 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-21","I can only Imagine 2","7:30 PM","28","8","0","0","36","290.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-20-26 I can only imagine 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-22","I can only Imagine 2","2:30 PM","0","30","8","0","38","227.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-20-26 I can only imagine 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-27","I Can Only Imagine 2","7:30 PM","13","15","2","0","30","216.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-27-26 I Can Only Imagine 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-02-28","I Can Only Imagine 2","7:30 PM","9","7","0","0","16","122.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-27-26 I Can Only Imagine 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-03-01","I Can Only Imagine 2","2:30 PM","0","17","6","0","23","134.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\2-27-26 I Can Only Imagine 2.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-03-06","Hoppers","7:30 PM","25","35","5","0","65","460.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-6-26 Hoppers.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
