"report_date","movie_title","show_time","general_qty","discount_qty","group_qty","live_qty","total_tickets","gross_total","source_type","source_ref","source_file","price_general","price_discount","price_group","notes"
"2017-07-21","Subjects","7:30 PM","17","17","9","0","43","291.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Dunkirk Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-07-22","Subjects","7:30 PM","36","11","3","0","50","389.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Dunkirk Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-07-23","Subjects","2:30 PM","6","1","3","0","10","69.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Dunkirk Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-07-24","Subjects","7:30 PM","14","5","3","0","22","163.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Dunkirk Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-07-25","Subjects","7:30 PM","0","7","5","0","12","65.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Dunkirk Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-07-26","Subjects","7:30 PM","9","11","8","0","28","180.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Dunkirk Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-07-28","Guardians Of the Galaxy Vol 2","7:30 PM","114","56","0","0","170","1333.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy GotG2 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-07-29","Guardians Of the Galaxy Vol 2","7:30 PM","64","10","0","0","74","609.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy GotG2 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-07-30","Guardians Of the Galaxy Vol 2","2:30 PM","0","22","2","0","24","151.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy GotG2 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-07-31","Guardians Of the Galaxy Vol 2","7:30 PM","24","6","2","0","32","251.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy GotG2 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-08-01","Guardians Of the Galaxy Vol 2","7:30 PM","54","13","3","0","70","555.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy GotG2 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-08-02","Guardians Of the Galaxy Vol 2","7:30 PM","70","11","1","0","82","670.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy GotG2 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-08-04","Cars 3","7:30 PM","32","19","3","0","54","407.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Cars 3 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-08-05","Cars 3","7:30 PM","12","12","2","0","26","188.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Cars 3 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-08-06","Cars 3","2:30 PM","0","50","3","0","53","337.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Cars 3 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-08-06","Pirates of the Caribean 5","7:30 PM","17","5","9","0","31","213.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy POTC5 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-08-07","Cars 3","7:30 PM","16","13","2","0","31","228.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy Cars 3 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2017-08-07","Pirates of the Caribean 5","7:30 PM","30","15","2","0","47","360.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\Archive\2017\Roxy POTC5 Gross.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
