"week_start_date","week_end_date","week_label","movie_title","rating","weeks_run","general_qty","discount_qty","free_qty","total_attendance","source_type","source_file","notes"
"2007-09-21","2007-09-26","Sept 21-26","N Diaries","PG","4","269","73","0","342","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-09-28","2007-10-04","Sep 28-0ct 4","Hairspray","PG","3","503","246","0","749","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-10-05","2007-10-10","Oct 5-10","3:10 Yuma","R","3","391","139","0","530","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-10-12","2007-10-18","Oct 12-18","G Plan","PG","3","362","170","0","532","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-10-19","2007-10-25","Oct 19-25","Stardust","PG","5","200","52","0","252","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-10-26","2007-10-31","Oct 26-31","Elizabeth","#","3","135","59","0","194","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-11-02","2007-11-07","Nov 2-7","Universe","#","8","137","22","0","159","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-11-09","2007-11-14","Nov 9-14","M Clayton","R","6","154","29","0","183","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-11-16","2007-11-21","Nov 16-21","Mr. Mag","G","F","352","211","0","563","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-11-23","2007-11-28","Nov 23-28","B Movie","PG","4","415","184","0","599","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-11-30","2007-12-05","Nov 30-Dec 5","Dan Life","PG","6","140","16","0","156","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-12-07","2007-12-12","Dec 7-12","F Claus","#","5","245","110","0","355","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-12-14","2007-12-19","Dec 14-19","Alvin Chip","PG","1","539","305","0","844","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-12-21","2007-12-26","Dec 21-26","Enchntd E","PG","6","216","100","0","316","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-12-21","2007-12-26","Dec 21-26","Enchntd M","PG","6","46","27","0","73","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-12-28","2008-01-03","Dec 28-Jan 3","A Rush","PG","6","201","53","0","254","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2007-12-28","2008-01-03","Dec 28-Jan 3","B Movie","PG","9","30","68","0","98","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-01-04","2008-01-09","Jan 4-9","A Gangster","R","#","104","52","0","156","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-01-11","2008-01-16","Jan 11-16","W Horse","PG","3","217","173","0","390","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-01-18","2008-01-24","Jan 18-24","N Tresre 2","PG","6","500","205","0","705","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-01-25","2008-01-31","Jan 25 -31","C W War","R","6","136","61","0","197","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-02-01","2008-02-06","Feb 1 -6","I am Legend","#","7","366","67","0","433","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-02-08","2008-02-13","Feb 8-13","Ps I Luv U","#","#","389","79","0","468","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-02-15","2008-02-20","Feb 15-20","Veggie Tales","G","6","236","226","16","478","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-02-22","2008-02-27","Feb 22-27","27 Drsses","#","6","454","116","19","589","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-02-29","2008-03-06","2/29/2008","Bucket List","#","#","635","211","9","855","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-03-07","2008-03-13","3/7/2008","Spiderwick","PG","4","329","209","15","553","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-03-14","2008-03-20","3/14/2008","H H A Who","PG","0","680","471","43","1194","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-03-21","2008-03-27","3/21/2008","No Country","R","#","168","41","5","214","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-03-28","2008-04-03","3/28/2008","Juno","#","#","364","70","18","452","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-04-04","2008-04-10","4/4/2008","10K BC","#","5","416","140","9","565","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-04-11","2008-04-17","4/11/2008","Vntg Pnt","3","8","321","77","6","404","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-04-18","2008-04-24","4/18/2008","Penelope","PG","8","218","95","8","321","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-04-25","2008-05-01","4/25/2008","Letherheds","#","3","287","87","16","390","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-05-02","2008-05-08","5/2/2008","Nm's Island","PG","4","315","175","18","508","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-05-09","2008-05-15","5/9/2008","Expelled","PG","4","264","77","5","346","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-05-16","2008-05-22","5/16/2008","C of Narnia","PG","1","736","329","46","1111","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-05-23","2008-05-29","5/23/2008","Iron Man","#","3","621","212","9","842","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-05-30","2008-06-05","5/30/2008","Iron Man 2","#","4","40","10","2","52","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-05-30","2008-06-05","5/30/2008","Md of Honor","#","5","308","73","4","385","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
"2008-06-06","2008-06-12","6/6/2008","Speed Racer","PG","5","243","140","16","399","old_owner_weekly_import","I:\My Drive\Old Roxy Data\Roxy stats 011916.xlsx","Imported from prior owner weekly workbook"
